,pl_name,hostname,pl_type,sy_snum,sy_pnum,companion_type,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_mass,st_met,discoverymethod
350,HD 136925 b,HD136925,CJ,1,1,1.0,4540.0,5.13,,,266.97586188,0.84,0.103,0.094,-0.07,0.875104,-0.2172,Radial Velocity
351,HD 132563 b,HD132563,CJ,3,1,1.0,1544.0,2.62,,,473.547,1.49,0.22,0.09,-0.09,1.231,-0.17,Radial Velocity
352,HD 131496 b,HD131496,CJ,1,1,1.0,896.0,2.01,,,572.094,1.8,0.181,0.06,-0.06,1.34,0.25,Radial Velocity
353,HD 130322 b,HD130322,HJ,1,1,1.0,10.70871,0.0925,,,365.49,1.15,0.029,0.016,-0.016,0.92,0.08626321443325,Radial Velocity
354,HD 128356 b,HD128356,WJ,1,1,1.0,298.2,0.87,,,282.8687,0.89,0.57,0.08,-0.08,0.65,0.17,Radial Velocity
355,HD 12484 b,HD12484,WJ,1,1,1.0,58.83,0.297,,,947.1334,2.98,0.07,0.03,-0.03,1.01,0.05,Radial Velocity
356,HD 124330 b,HD124330,WJ,1,1,1.0,270.66,0.86,,,238.37130525,0.75,0.34,0.05,-0.05,1.15,0.22,Radial Velocity
357,HD 120084 b,HD120084,CJ,1,1,1.0,2142.0,4.21,,,2034.1018048,6.4,0.483,0.027,-0.029,2.16,0.1,Radial Velocity
358,HD 115954 b,HD115954,CJ,1,1,1.0,3700.0,5.0,,,2634.79749403,8.29,0.487,0.095,-0.041,1.18,0.34,Radial Velocity
359,HD 114082 b,HD114082,WJ,1,1,1.0,109.75,0.5109,11.2089807,1.0,2542.627256,8.0,0.395,0.037,-0.039,1.47,0.0,Radial Velocity
360,HD 113996 b,HD113996,CJ,2,1,1.0,610.2,1.6,,,2002.329,6.3,0.28,0.12,-0.12,1.49,0.13,Radial Velocity
361,HD 112640 b,HD112640,CJ,1,1,1.0,613.2,1.7,,,1589.15,5.0,0.24,0.18,-0.18,1.8,-0.09,Radial Velocity
362,HD 112570 b,HD112570,CJ,1,1,1.0,2615.0,3.9,,,1086.97315194,3.42,0.2,0.16,-0.14,1.15,-0.4,Radial Velocity
363,HD 112300 b,HD112300,CJ,1,1,1.0,466.63,1.33,,,5031.22368281,15.83,0.36,0.06,-0.11,1.4,-0.06,Radial Velocity
364,HD 109286 b,HD109286,CJ,1,1,1.0,520.1,1.259,,,950.30693693,2.99,0.338,0.034,-0.035,0.98,0.05,Radial Velocity
365,HD 108863 b,HD108863,CJ,1,1,1.0,437.7,1.32,,,767.24162,2.414,0.032,0.027,-0.027,1.59,0.2,Radial Velocity
366,HD 108341 b,HD108341,CJ,2,1,1.0,1129.0,2.0,,,1112.4,3.5,0.85,0.09,-0.08,0.843,0.04,Radial Velocity
367,HD 106270 b,HD106270,CJ,1,1,1.0,1888.0,3.34,,,3219.6179,10.13,0.185,0.027,-0.027,1.39,0.06,Radial Velocity
368,HD 104985 b,HD104985,WJ,1,1,1.0,199.68,0.715,,,1766.80811451,5.559,0.047,0.015,-0.028,1.22,-0.32,Radial Velocity
369,HD 10442 b,HD10442,CJ,1,1,1.0,1032.3,2.01,,,472.61321,1.487,0.132,0.044,-0.044,1.01,0.11,Radial Velocity
370,HD 103720 b,HD103720,HJ,1,1,1.0,4.5557,0.0498,,,197.046,0.62,0.086,0.024,-0.024,0.794,-0.02,Radial Velocity
371,HD 102956 b,HD102956,HJ,2,1,1.0,6.4947,0.0807,,,305.1168,0.96,0.037,0.019,-0.019,1.66,0.19,Radial Velocity
372,HATS-70 b,HATS70,HJ,1,1,1.0,1.8882378,0.03632,15.513256,1.384,4100.007,12.9,0.18,0.1,-0.1,1.78,0.041,Transit
373,HATS-68 b,HATS68,HJ,1,1,1.0,3.5862202,0.05071,13.809488,1.232,410.0007,1.29,0.036,0.1,-0.1,1.351,0.21,Transit
374,HATS-64 b,HATS64,HJ,1,1,1.0,4.908897,0.06562,18.819911,1.679,305.1168,0.96,0.151,0.1,-0.1,1.564,0.22,Transit
375,HATS-62 b,HATS62,HS,1,1,1.0,3.2768837,0.04163,11.825495,1.055,56.89157,0.179,0.298,0.1,-0.1,0.896,0.133,Transit
376,HATS-56 b,HATS56,HJ,1,1,1.0,4.324799,0.06043,18.920792,1.688,191.33366,0.602,0.019,0.1,-0.1,1.573,0.19,Transit
377,HATS-54 b,HATS54,HJ,1,1,1.0,2.5441765,0.037,11.37711541,1.015,239.32479047,0.753,0.0,0.1,-0.1,1.05,0.37,Transit
378,HATS-51 b,HATS51,HJ,1,1,1.0,3.3488702,0.04639,15.80469,1.41,244.09344,0.768,0.33,0.1,-0.1,1.187,0.3,Transit
379,HATS-50 b,HATS50,HS,1,1,1.0,3.8297015,0.05046,12.66617,1.13,123.9537,0.39,0.516,0.1,-0.1,1.168,0.3,Transit
380,HATS-41 b,HATS41,HJ,1,1,1.0,4.193649,0.0583,14.90797,1.33,3082.951,9.7,0.38,0.11,-0.11,1.496,0.47,Transit
381,HATS-33 b,HATS33,HJ,1,1,1.0,2.5495551,0.03727,13.78707,1.23,378.85336,1.192,0.08,0.1,-0.1,1.062,0.29,Transit
382,HATS-27 b,HATS27,HJ,1,1,1.0,4.637038,0.0611,16.8135,1.5,168.4499,0.53,0.581,0.1,-0.1,1.415,0.09,Transit
383,HAT-P-70 b,HATP70,HJ,1,1,1.0,2.74432452,0.04739,20.96083,1.87,2154.8874,6.78,0.0,0.1,-0.1,1.89,-0.059,Transit
384,HAT-P-69 b,HATP69,HJ,1,1,1.0,4.7869491,0.06555,18.786284,1.676,1137.8314,3.58,0.0,0.1,-0.1,1.648,-0.069,Transit
385,HAT-P-66 b,HATP66,HJ,1,1,1.0,2.972086,0.04363,17.82231,1.59,248.86089,0.783,0.09,0.1,-0.1,1.255,0.035,Transit
386,HAT-P-63 b,HATP63,HJ,1,1,1.0,3.377728,0.04294,12.5428494,1.119,195.1466419,0.614,0.069,0.1,-0.1,0.925,0.251,Transit
387,HAT-P-61 b,HATP61,HJ,1,1,1.0,1.90231289,0.0301,10.07687365,0.899,335.9446262,1.057,0.113,0.1,-0.1,1.004,0.194,Transit
388,HAT-P-60 b,HATP60,HJ,1,1,1.0,4.7947813,0.06277,18.28184752,1.631,182.43350562,0.574,0.25,0.1,-0.1,1.435,0.037,Transit
389,HAT-P-50 b,HATP50,HJ,1,1,1.0,3.1220109,0.0453,14.437192,1.288,429.0705,1.35,0.115,0.1,-0.1,1.273,-0.18,Transit
390,HAT-P-34 b,HATP34,HJ,1,1,1.0,5.452654,0.06774,13.417173,1.197,1058.3739,3.33,0.432,0.029,-0.027,1.392,0.22,Transit
391,GJ 3021 b,GJ3021,WJ,2,1,1.0,133.71,0.49,,,1071.04,3.37,0.511,0.017,-0.017,0.9,0.1,Radial Velocity
392,GJ 179 b,GJ179,CJ,1,1,1.0,2288.0,2.41,,,260.61,0.82,0.21,0.08,-0.08,0.357,0.3,Radial Velocity
393,CoRoT-9 b,CoRoT9,WJ,2,1,1.0,95.272656,0.4021,11.948794,1.066,266.9772,0.84,0.133,0.042,-0.037,0.96,-0.01,Transit
394,CoRoT-29 b,CoRoT29,HJ,1,1,1.0,2.85057,0.0386,10.0881,0.9,270.1555,0.85,0.082,0.081,-0.081,0.97,0.2,Transit
395,CoRoT-26 b,CoRoT26,HJ,1,1,1.0,4.20474,0.0526,14.12,1.26,165.26,0.52,0.0,0.1,-0.1,1.09,0.01,Transit
396,CoRoT-16 b,CoRoT16,HJ,1,1,1.0,5.35227,0.0618,13.11,1.17,170.032,0.535,0.33,0.09,-0.1,1.098,0.19,Transit
397,CoRoT-12 b,CoRoT12,HJ,1,1,1.0,2.828042,0.04016,16.14,1.44,291.438,0.917,0.07,0.063,-0.042,1.078,0.16,Transit
398,BD+55 362 b,BD550362,WJ,1,1,1.0,265.59,0.78,,,228.83645304,0.72,0.27,0.06,-0.06,0.909,0.18,Radial Velocity
399,BD+49 828 b,BD490828,CJ,1,1,1.0,2590.0,4.2,,,508.5,1.6,0.35,0.24,-0.1,1.52,-0.19,Radial Velocity
400,BD+48 740 b,BD480740,CJ,1,1,1.0,733.0,1.7,,,540.311,1.7,0.76,0.05,-0.09,1.09,-0.13,Radial Velocity
401,BD+48 738 b,BD480738,CJ,1,1,1.0,392.6,1.0,,,289.2253,0.91,0.2,0.1,-0.1,0.74,-0.2,Radial Velocity
402,BD+20 274 b,BD200274,CJ,1,1,1.0,578.2,1.3,,,1334.886,4.2,0.21,0.06,-0.06,0.8,-0.46,Radial Velocity
403,BD+15 2940 b,BD152940,WJ,1,1,1.0,137.48,0.539,,,352.78,1.11,0.26,0.1,-0.1,1.1,0.28,Radial Velocity
404,BD+15 2375 b,BD152375,WJ,1,1,1.0,153.22,0.576,,,337.21763,1.061,0.001,0.25,-0.001,1.08,-0.22,Radial Velocity
405,BD+03 2562 b,BD032562,CJ,1,1,1.0,481.9,1.3,,,2034.112,6.4,0.2,0.12,-0.08,1.14,-0.71,Radial Velocity
406,91 Aqr b,91Aqr,WJ,3,1,1.0,181.4,0.7,,,1017.0,3.2,0.027,0.026,-0.026,1.4,-0.03,Radial Velocity
407,81 Cet b,81Cet,CJ,1,1,1.0,1005.57,2.104,,,1051.05854195,3.307,0.037,0.015,-0.025,1.23,-0.11,Radial Velocity
408,70 Vir b,70Vir,WJ,1,1,1.0,116.688,0.481,,,2357.02728,7.416,0.3988,0.0019,-0.0019,1.09,-0.0401746424666999,Radial Velocity
409,6 Lyn b,6Lyn,CJ,1,1,1.0,919.86,2.028,,,597.83523357,1.881,0.042,0.024,-0.032,1.32,-0.17,Radial Velocity
410,4 UMa b,4UMa,WJ,1,1,1.0,270.27,0.877,,,2511.48007211,7.902,0.453,0.021,-0.036,1.234,-0.25,Radial Velocity
411,24 Boo b,24Boo,WJ,1,1,1.0,30.33,0.194,,,280.64248338,0.883,0.032,0.039,-0.023,1.05,-0.78,Radial Velocity
412,18 Del b,18Del,CJ,2,1,1.0,982.85,2.476,,,2926.24614325,9.207,0.024,0.007,-0.018,2.1,-0.06,Radial Velocity
413,17 Sco b,17Sco,CJ,1,1,1.0,578.38,1.45,,,1373.01871824,4.32,0.06,0.03,-0.02,1.22,-0.01,Radial Velocity
414,14 And b,14And,WJ,1,1,1.0,186.76,0.775,,,1131.15130051,3.559,0.0,0.1,-0.1,1.78,-0.21,Radial Velocity
415,11 Com b,11Com,CJ,2,1,1.0,323.21,1.178,,,4914.89848585,15.464,0.238,0.007,-0.007,2.09,-0.26,Radial Velocity
416,rho CrB b,rhoCrB,WJ,1,4,2.0,39.8438,0.2245,,,347.38644885,1.093,0.038,0.0025,-0.0025,0.95,-0.2,Radial Velocity
417,rho CrB c,rhoCrB,CS,1,4,22.0,102.19,0.4206,,,28.2,0.08872712,0.096,0.053,-0.054,0.95,-0.2,Radial Velocity
418,rho CrB d,rhoCrB,CS,1,4,110.0,282.2,0.827,,,21.6,0.0679612,0.0,0.1,-0.1,0.95,-0.2,Radial Velocity
419,rho CrB e,rhoCrB,SE,1,4,1.0,12.949,0.1061,,,3.79,0.01192467,0.126,0.054,-0.078,0.95,-0.2,Radial Velocity
420,WASP-96 b,WASP96,HS,1,1,1.0,3.4252602,0.0453,13.45,1.2,152.55,0.48,0.0,0.1,-0.1,1.06,0.14,Transit
421,WASP-83 b,WASP83,HS,1,1,1.0,4.971252,0.059,11.65736,1.04,95.349,0.3,0.0,0.1,-0.1,1.11,0.29,Transit
422,WASP-21 b,WASP21,HS,1,1,1.0,4.322482,0.052,11.99,1.07,95.345,0.3,0.0,0.1,-0.1,,-0.46,Transit
423,WASP-20 b,WASP20,HS,2,1,1.0,4.8996284,0.06,16.388,1.462,98.841,0.311,0.0,0.1,-0.1,1.2,-0.008,Transit
424,WASP-193 b,WASP193,HS,1,1,1.0,6.2463345,0.0676,16.40994774,1.464,44.17814857,0.139,0.056,0.068,-0.04,1.059,-0.06,Transit
425,WASP-182 b,WASP182,HS,1,1,1.0,3.3769848,0.0451,9.52765,0.85,47.03884,0.148,0.0,0.1,-0.1,1.076,0.27,Transit
426,WASP-181 b,WASP181,HS,1,1,1.0,4.5195064,0.05427,13.271456,1.184,95.03117,0.299,,0.1,-0.1,1.04,0.09,Transit
427,WASP-172 b,WASP172,HS,1,1,1.0,5.477433,0.0694,17.59813,1.57,149.3801,0.47,0.0,0.1,-0.1,1.49,-0.1,Transit
428,WASP-168 b,WASP168,HS,2,1,1.0,4.153658,0.0519,16.8135,1.5,133.4886,0.42,0.0,0.1,-0.1,1.08,-0.01,Transit
429,WASP-166 b,WASP166,HS,1,1,1.0,5.44354,0.0641,7.06167,0.63,32.10083,0.101,0.0,0.1,-0.1,1.19,0.19,Transit
430,WASP-156 b,WASP156,HS,1,1,1.0,3.8361623,0.0458,6.02802815,0.53778558,41.8,0.13151751,0.0,0.1,-0.1,0.8712,0.305,Transit
431,WASP-153 b,WASP153,HS,1,1,1.0,3.332609,0.048,17.37395,1.55,123.9537,0.39,0.009,0.1,-0.1,1.336,0.34,Transit
432,WASP-147 b,WASP147,HS,1,1,1.0,4.60273,0.0549,12.498035,1.115,87.40325,0.275,0.0,0.1,-0.1,1.044,0.092,Transit
433,WASP-139 b,WASP139,HS,2,1,1.0,5.924262,0.062,8.9672,0.8,37.18611,0.117,0.0,0.1,-0.1,0.92,0.2,Transit
434,WASP-107 b,WASP107,HS,1,2,1.0,5.7214742,0.05515907240987473,,,30.5,0.096,0.06,0.04,-0.04,0.683,0.02,Transit
435,WASP-107 c,WASP107,CS,1,2,3.0,1088.0,1.8240255685850153,,,115.0,0.36,0.28,0.07,-0.07,0.683,0.02,Radial Velocity
436,TYC 2187-512-1 b,TYC21875121,CS,1,1,1.0,691.9,1.22,,,104.88337431,0.33,0.05,0.04,-0.03,0.498,0.08,Radial Velocity
437,TOI-815 b,TOI815,SE,2,2,1.0,11.197259,0.0903,2.94,0.26228968,7.6,0.02391227,0.2,0.1,-0.1,0.776,-0.09,Transit
438,TOI-815 c,TOI815,CS,2,2,2.0,34.976145,0.193,2.62,0.23374115,23.5,0.07393927,0.22,0.1,-0.1,0.776,-0.09,Transit
439,TOI-622 b,TOI622,HS,1,1,1.0,6.402513,0.0708,9.2362001,0.824,96.30200732,0.303,0.42,0.1,-0.1,1.313,0.09,Transit
440,TOI-615 b,TOI615,HS,1,1,1.0,4.6615983,0.0678,18.97680433,1.693,138.25535705,0.435,0.39,0.1,-0.1,1.449,-0.1,Transit
441,TOI-544 b,TOI544,SE,1,2,1.0,1.548352,0.0225,2.018,0.18003421,2.89,0.00909296,0.0,0.1,-0.1,0.631,-0.17,Transit
442,TOI-544 c,TOI544,CS,1,2,2.0,50.089,0.22819674796533482,,,21.5,0.06764657,0.32,0.08,-0.09,0.631,-0.17,Radial Velocity
443,TOI-5398 b,TOI5398,HS,1,2,2.0,10.590547,0.098,10.3,0.91890603,58.7,0.18469085,0.13,0.1,-0.1,1.146,0.09,Transit
444,TOI-5398 c,TOI5398,SE,1,2,1.0,4.77271,0.057,3.52,0.31403391,11.8,0.03712695,0.14,0.1,-0.1,1.146,0.09,Transit
445,TOI-500 b,TOI500,SE,1,4,1.0,0.548177,0.01189,1.166,0.10402373,1.42,0.00446782,0.063,0.073,-0.044,0.74,0.12,Transit
446,TOI-500 c,TOI500,SE,1,4,2.0,6.6356,0.06253677233928172,,,5.03,0.01582615,0.072,0.074,-0.05,0.74,0.12,Radial Velocity
447,TOI-500 d,TOI500,CS,1,4,4.0,26.233,0.1563557905646235,,,33.12,0.10420717,0.016,0.017,-0.011,0.74,0.12,Radial Velocity
448,TOI-500 e,TOI500,SE,1,4,20.0,61.3,0.27533133885555616,,,15.05,0.0473526,0.073,0.068,-0.051,0.74,0.12,Radial Velocity
449,TOI-4994 b,TOI4994,CS,1,1,1.0,21.491984,0.1515,8.54124329,0.762,88.99195396,0.28,0.319,0.048,-0.047,1.005,0.165,Transit
450,TOI-4860 b,TOI4860,HS,1,1,1.0,1.5227591,0.01808,8.7,0.77,86.7,0.273,0.008,0.013,-0.006,0.34,0.27,Transit
451,TOI-4406 b,TOI4406,CS,1,1,1.0,30.08364,0.201,11.2089807,1.0,95.3485221,0.3,0.15,0.05,-0.04,1.19,0.1,Transit
452,TOI-3629 b,TOI3629,HS,1,1,1.0,3.936551,0.043,8.29464572,0.74,82.63538582,0.26,0.05,0.05,-0.04,0.63,0.4,Transit
453,TOI-257 b,TOI257,CS,1,1,1.0,18.38818,0.1528,7.16253867,0.639,43.86032017,0.138,0.0,0.1,-0.1,1.407,0.175,Transit
454,TOI-2141 b,TOI2141,CS,1,1,1.0,18.26157,0.133,3.05,0.278,24.0,0.075,0.21,0.1,-0.1,0.94,-0.12,Transit
455,TOI-2134 b,TOI2134,SE,1,2,1.0,9.2292005,0.078,2.69,0.23998614,9.13,0.02872619,0.06,0.03,-0.04,0.744,0.12,Transit
456,TOI-2134 c,TOI2134,CS,1,2,2.0,95.5,0.371,7.27,0.64858707,41.89,0.13180068,0.67,0.05,-0.06,0.744,0.12,Transit
457,TOI-201 b,TOI201,WJ,1,2,1.0,52.977946,0.3026,11.82547464,1.055,184.34047606,0.58,0.318,0.02,-0.022,1.316,0.24,Transit
458,TOI-201 c,TOI201,CJ,1,2,11.0,2800.0,4.28,11.13051784,0.993,4513.1633794,14.2,0.643,0.009,-0.021,1.316,0.24,Transit Timing Variations
459,TOI-2000 b,TOI2000,SE,1,2,1.0,3.09833,0.04271,2.7,0.241,11.0,0.0347,0.0,0.1,-0.1,1.082,0.439,Transit
460,TOI-2000 c,TOI2000,HS,1,2,2.0,9.127055,0.0878,8.14,0.727,81.7,0.257,0.063,0.023,-0.022,1.082,0.439,Transit
461,TOI-199 b,TOI199,CS,1,2,1.0,104.854,0.4254,9.07927437,0.81,54.03082919,0.17,0.09,0.01,-0.02,0.936,0.22,Transit
462,TOI-199 c,TOI199,CS,1,2,5.0,273.69,0.807,,,88.99195396,0.28,0.096,0.008,-0.009,0.936,0.22,Transit Timing Variations
463,TOI-1853 b,TOI1853,HS,1,1,1.0,1.2436258,0.0213,3.46,0.30868106,73.2,0.23031296,0.03,0.1,-0.1,0.837,0.11,Transit
464,TOI-181 b,TOI181,HS,1,1,1.0,4.532,0.0539,6.9559,0.6339,46.1687,0.1452,0.1543,0.06,-0.03,0.822,0.272,Transit
465,TOI-1273 b,TOI1273,HS,1,1,1.0,4.631296,0.0549,11.09689089,0.99,70.55790635,0.222,0.055,0.032,-0.032,1.06,0.07,Transit
466,TOI-1268 b,TOI1268,HS,1,1,1.0,8.1577094,0.0711,9.1,0.81184902,96.4,0.30330832,0.105,0.04,-0.039,0.96,0.36,Transit
467,TOI-1199 b,TOI1199,HS,1,1,1.0,3.671463,0.04988,10.5140239,0.938,75.96098927,0.239,0.03,0.029,-0.029,1.23,0.44,Transit
468,TOI-1173 b,TOI1173,HS,2,1,1.0,7.06466,0.0696,9.19,0.8198783,27.4,0.08621004,0.023,0.025,-0.016,0.911,0.139,Transit
469,NGTS-5 b,NGTS5,HS,1,1,1.0,3.3569866,0.0382,12.733424,1.136,72.78307,0.229,0.0,0.1,-0.1,0.661,0.12,Transit
470,NGC 2682 YBP 401 b,NGC2682YBP401,HS,1,1,1.0,4.087,0.05228488204866667,,,146.2018,0.46,0.15,0.08,-0.08,1.14,0.04,Radial Velocity
471,Kepler-1656 b,Kepler1656,CS,1,2,1.0,31.562,0.1974,,,47.8,0.15,0.838,0.045,-0.029,1.03,0.19,Transit
472,Kepler-1656 c,Kepler1656,CS,1,2,5.0,1919.0,3.053,,,126.4,0.4,0.527,0.05,-0.054,1.03,0.19,Radial Velocity
473,Kepler-129 b,Kepler129,CS,1,3,1.0,15.79,0.13,2.4,0.21411403,20.0,0.06292704,,0.1,-0.1,1.178,0.29,Transit
474,Kepler-129 c,Kepler129,CS,1,3,5.0,82.2,0.39,2.52,0.22481973,43.0,0.13529313,,0.1,-0.1,1.178,0.29,Transit
475,Kepler-129 d,Kepler129,CJ,1,3,25.0,2646.0,4.0,,,2637.9757781,8.3,0.15,0.07,-0.05,1.178,0.29,Radial Velocity
476,Kepler-103 b,Kepler103,SE,1,2,1.0,15.9653287,0.13223,3.486,0.31100062,9.8,0.03083425,0.093,0.1,-0.1,1.212,0.16,Transit
477,Kepler-103 c,Kepler103,CS,1,2,2.0,179.60978,0.6639,5.45,0.48621727,38.0,0.11956137,0.095,0.1,-0.1,1.212,0.16,Transit
478,Kepler-101 b,Kepler101,HS,1,2,1.0,3.4876812,0.0474,5.77,0.51,51.1,0.16,0.086,0.08,-0.059,1.17,0.33,Transit
479,Kepler-101 c,Kepler101,SE,1,2,3.0,6.02976,0.0684,1.25,0.112,3.78,0.01,0.0,0.1,-0.1,1.17,0.33,Transit
480,KOI-94 b,KOI94,SE,2,4,1.0,3.743208,0.05119,1.71,0.153,10.5,0.033,0.25,0.17,-0.17,1.277,0.0228,Transit
481,KOI-94 c,KOI94,SE,2,4,2.0,10.423648,0.1013,4.32,0.385,15.6,0.049,0.43,0.23,-0.23,1.277,0.0228,Transit
482,KOI-94 d,KOI94,CS,2,4,4.0,22.342989,0.1684,11.27,1.005,106.0,0.334,0.022,0.038,-0.038,1.277,0.0228,Transit
483,KOI-94 e,KOI94,CS,2,4,20.0,54.32031,0.3046,6.56,0.585,35.0,0.11,0.019,0.23,-0.23,1.277,0.0228,Transit
484,K2-66 b,K266,HS,1,1,1.0,5.06963,0.05983,2.49,0.22214292,21.3,0.06701696,0.0,0.1,-0.1,1.11,-0.047,Transit
485,K2-329 b,K2329,CS,1,1,1.0,12.4551225,0.1016,8.675766,0.774,82.6358,0.26,0.0697,0.041,-0.04,0.901,0.098,Transit
486,K2-280 b,K2280,CS,1,1,1.0,19.89526,0.1461,7.5,0.66910634,37.1,0.11672965,0.35,0.05,-0.04,1.03,0.33,Transit
487,K2-27 b,K227,HS,3,1,1.0,6.771315,0.06702,4.48,0.39967883,30.9,0.09722179,0.251,0.088,-0.088,0.866,0.13,Transit
488,K2-25 b,K225,HS,1,1,1.0,3.48456408,0.0287,3.44,0.306,24.5,0.07708562,0.428,0.05,-0.049,0.2634,0.15,Transit
489,K2-100 b,K2100,HS,1,1,1.0,1.6739035,0.0301,3.88,0.34615101,21.8,0.06859047,0.0,0.1,-0.1,1.15,0.22,Transit
490,HD 99492 b,HD99492,CS,2,2,1.0,17.0503,0.12286619683960676,,,25.5,0.08023197,0.034,0.025,-0.021,0.85,0.3,Radial Velocity
491,HD 99492 c,HD99492,SE,2,2,5.0,95.233,0.386784779760873,,,17.9,0.0563197,0.063,0.06,-0.04,0.85,0.3,Radial Velocity
492,HD 95338 b,HD95338,CS,1,1,1.0,55.087,0.262,3.89,0.34704256,42.44,0.1335305,0.197,0.029,-0.024,0.83,0.04,Radial Velocity
493,HD 88133 b,HD88133,HS,1,1,1.0,3.414884,0.0479,,,90.422635,0.2845,0.031,0.021,-0.021,1.26,0.33,Radial Velocity
494,HD 86226 b,HD86226,CS,1,2,2.0,1628.0,2.73,,,143.0235,0.45,0.059,0.062,-0.039,1.019,0.018,Radial Velocity
495,HD 86226 c,HD86226,SE,1,2,1.0,3.98442,0.049,2.16,0.19270229,7.25,0.02281094,0.075,0.065,-0.048,1.019,0.018,Transit
496,HD 85390 b,HD85390,CS,1,1,1.0,799.52,1.373,,,31.46517,0.099,0.5,0.05,-0.05,0.758,-0.07,Radial Velocity
497,HD 564 b,HD564,CS,1,1,1.0,492.3,1.2,,,104.88,0.33,0.096,0.067,-0.067,0.961,-0.2,Radial Velocity
498,HD 47186 b,HD47186,HS,1,2,1.0,4.0845,0.05,,,22.2481,0.07,0.04,0.02,-0.02,0.96,0.24,Radial Velocity
499,HD 47186 c,HD47186,CS,1,2,3.0,1353.6,2.395,,,111.42,0.35061,0.249,0.073,-0.073,,0.24,Radial Velocity
500,HD 46375 b,HD46375,HS,2,1,1.0,3.023573,0.0398,,,71.8,0.226,0.063,0.026,-0.026,0.92,0.24,Radial Velocity
501,HD 3765 b,HD3765,CS,1,1,1.0,1211.0,2.108,,,54.98431441,0.173,0.298,0.078,-0.071,0.851785,0.1716,Radial Velocity
502,HD 33283 b,HD33283,CS,2,1,1.0,18.1991,0.1508,,,104.56607,0.329,0.399,0.056,-0.056,1.38,0.35,Radial Velocity
503,HD 30669 b,HD30669,CS,1,1,1.0,1684.0,2.69,,,149.37,0.47,0.18,0.15,-0.15,0.92,0.13,Radial Velocity
504,HD 220197 b,HD220197,CS,1,1,1.0,1728.0,2.729,,,63.566,0.2,0.187,0.279,-0.132,0.91,-0.55,Radial Velocity
505,HD 21411 b,HD21411,CS,1,1,1.0,84.288,0.362,,,65.9,0.20734355,0.4,0.15,-0.15,0.89,-0.26,Radial Velocity
506,HD 210193 b,HD210193,CS,1,1,1.0,649.918,1.487,,,153.1,0.48170406,0.24,0.09,-0.09,1.04,0.13,Radial Velocity
507,HD 206255 b,HD206255,CS,1,1,1.0,96.045,0.461,,,34.2,0.10760469,0.23,0.11,-0.11,1.42,,Radial Velocity
508,HD 192310 b,HD192310,SE,1,2,1.0,74.72,0.32,,,16.9,0.0532,0.13,0.04,-0.04,0.8,-0.04,Radial Velocity
509,HD 192310 c,HD192310,CS,1,2,2.0,525.8,1.18,,,24.0,0.076,0.32,0.11,-0.11,0.8,-0.04,Radial Velocity
510,HD 18599 b,HD18599,HS,2,1,1.0,4.1374354,0.048,2.6,0.23195686,24.1,0.07582708,0.34,0.07,-0.09,0.863,0.0,Transit
511,HD 184010 b,HD184010,CS,1,3,1.0,286.6,0.94,,,98.52680617,0.31,0.0,0.1,-0.1,1.35,-0.17,Radial Velocity
512,HD 184010 c,HD184010,CS,1,3,5.0,484.3,1.334,,,95.3485221,0.3,0.0,0.1,-0.1,1.35,-0.17,Radial Velocity
513,HD 184010 d,HD184010,CS,1,3,25.0,836.4,1.92,,,143.02278315,0.45,0.0,0.1,-0.1,1.35,-0.17,Radial Velocity
514,HD 179079 b,HD179079,CS,1,1,1.0,14.479,0.1214,,,25.74423,0.081,0.049,0.087,-0.087,1.14,0.24,Radial Velocity
515,HD 164509 b,HD164509,CS,2,1,1.0,280.17,0.87,,,140.79869,0.443,0.238,0.062,-0.062,1.12,0.2,Radial Velocity
516,HD 16417 b,HD16417,CS,2,1,1.0,17.24,0.14,,,22.1,0.0696,0.2,0.09,-0.09,1.2,0.06,Radial Velocity
517,HD 147379 b,HD147379,CS,2,1,1.0,86.58,0.3195649521026691,,,21.6,0.0679612,0.063,0.047,-0.038,0.58,0.16,Radial Velocity
518,HD 134606 b,HD134606,SE,1,5,2.0,12.089,0.1046,,,9.09,0.02860034,0.092,0.054,-0.053,1.046,0.343,Radial Velocity
519,HD 134606 c,HD134606,SE,1,5,8.0,58.883,0.3007,,,11.31,0.03558524,0.055,0.062,-0.04,1.046,0.343,Radial Velocity
520,HD 134606 d,HD134606,CS,1,5,16.0,966.5,1.941,,,44.8,0.14095656,0.092,0.045,-0.045,1.046,0.343,Radial Velocity
521,HD 134606 e,HD134606,SE,1,5,1.0,4.3203,0.0527,,,2.34,0.00736246,0.2,0.14,-0.13,1.046,0.343,Radial Velocity
522,HD 134606 f,HD134606,SE,1,5,4.0,26.915,0.1784,,,5.63,0.01771396,0.081,0.1,-0.059,1.046,0.343,Radial Velocity
523,HD 133131 A b,HD133131A,CJ,2,3,1.0,649.0,1.44,,,451.3186,1.42,0.33,0.03,-0.03,0.95,-0.306,Radial Velocity
524,HD 133131 A c,HD133131A,CS,2,3,13.0,3568.0,4.49,,,133.4886,0.42,0.49,0.22,-0.22,0.95,-0.306,Radial Velocity
