,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
89,KOI-351 d,KOI-351,1,8,CJ,59.73667,0.32,,,,,6080.0,1.2,1.2,-0.12,0,0,0
90,KOI-351 e,KOI-351,1,8,CJ,91.93913,0.42,,,,,6080.0,1.2,1.2,-0.12,0,0,0
91,KOI-351 f,KOI-351,1,8,CJ,124.9144,0.48,,,,,6080.0,1.2,1.2,-0.12,0,0,0
92,KOI-351 g,KOI-351,1,8,CJ,210.60697,0.71,,,,,6080.0,1.2,1.2,-0.12,0,0,0
93,KOI-351 h,KOI-351,1,8,CJ,331.60059,1.01,,,,,6080.0,1.2,1.2,-0.12,0,0,0
94,Kepler-90 i,KOI-351,1,8,CJ,14.44912,8.9407438354138,,,,,6015.0,1.29,1.12,0.098,0,0,0
95,KOI-142 b,KOI-142,1,3,SE,10.91647,10.343928043715586,9.5,0.03,0.05561,,5466.0,0.9,0.99,0.27,0,0,0
96,KOI-142 c,KOI-142,1,3,CJ,22.26492,6.431706459466994,214.1,0.674,0.05724,,5466.0,0.9,0.99,0.27,0,0,0
97,Kepler-88 d,KOI-142,1,3,WJ,1403.0,0.40616440498282574,965.147,3.05046,0.41,,5466.0,0.9,0.99,0.27,0,0,0
98,KELT-6 b,KELT-6,1,2,CJ,7.8457,14.539078873829922,165.2716,0.52,0.22,,6102.0,1.73,1.42,-0.28,0,0,1
99,KELT-6 c,KELT-6,1,2,CJ,1276.0,2.39,1179.1493,3.71,0.21,,6272.0,1.53,1.13,-0.27,0,0,0
100,HD 11343 c,HIP 8541,2,2,WJ,228.53731,0.923,255.53404,0.804,0.169,,,,2.01,,0,0,0
101,HIP 8541 b,HIP 8541,2,2,CJ,1852.14387,3.729,2451.72833,7.714,0.36,,,,2.01,,0,0,1
102,HIP 67851 b,HIP 67851,1,2,WJ,88.87622,0.482,498.35494,1.568,0.063,,,,1.9,,0,0,0
103,HIP 67851 c,HIP 67851,1,2,CJ,3923.6609,6.032,2204.77566,6.937,0.356,,,,1.9,,0,0,1
104,HIP 65407 b,HIP 65407,1,2,CS,28.125,0.177,136.03124,0.428,0.14,K0,5460.0,,0.93,0.25,0,0,0
105,HIP 65407 c,HIP 65407,1,2,WJ,67.3,0.316,249.17872,0.784,0.12,K0,5460.0,,0.93,0.25,0,1,0
106,HIP 57274 b,HIP 57274,1,3,SE,8.1352,0.07,6.3566,0.02,0.19,,4510.0,0.78,0.29,0.01,0,0,0
107,HIP 57274 c,HIP 57274,1,3,CS,32.03,0.178,130.0,0.40902,0.05,K4 V,4640.0,0.68,0.73,0.09,0,0,0
108,HIP 57274 d,HIP 57274,1,3,CJ,431.7,1.01,167.4,0.5267,0.27,K4 V,4640.0,0.68,0.73,0.09,1,1,0
109,HIP 14810 b,HIP 14810,1,3,HJ,6.673892,0.0696,1239.537,3.9,0.14399,G5,5544.0,1.07,1.01,0.24,0,0,0
110,HIP 14810 c,HIP 14810,1,3,WJ,147.747,0.549,416.3573,1.31,0.1566,G5,5544.0,1.07,1.01,0.24,0,0,1
111,HIP 14810 d,HIP 14810,1,3,CJ,981.8,1.94,187.5197,0.59,0.185,G5,5544.0,1.07,1.01,0.24,0,0,1
112,HD 99706 b,HD 99706,1,2,CJ,841.0,1.98,390.9309,1.23,0.25,,4862.0,5.52,1.46,,0,0,0
113,HD 99706 c,HD 99706,1,2,WJ,1278.0,0.5196179629989611,1808.4527,5.69,0.411,,,,1.72,,0,0,0
114,HD 9446 b,HD 9446,1,2,WJ,30.052,0.189,222.472,0.7,0.2,G5 V,5793.0,1.0,1.0,0.09,0,0,0
115,HD 9446 c,HD 9446,1,2,WJ,192.9,0.654,578.426,1.82,0.06,G5 V,5793.0,1.0,1.0,0.09,0,0,1
116,HD 92788 b,HD 92788,1,2,WJ,325.803,0.97,1195.0408,3.76,0.35,G6 V,5744.0,1.14,1.15,0.27,0,0,0
117,HD 92788 c,HD 92788,1,2,CJ,11611.2975,10.5,1166.4361,3.67,0.46,G6 V,5744.0,1.14,1.15,0.27,0,0,1
118,HD 83443 b,HD 83443,1,2,HS,2.985628,0.0406,127.76702,0.402,0.012,K0 V,5442.0,0.94,1.0,0.34,0,0,0
119,HD 83443 c,HD 83443,1,2,CJ,8241.0,8.0,476.74261,1.5,0.76,K0 V,5442.0,0.94,1.0,0.34,0,1,0
120,HD 82943 b,HD 82943,1,2,CJ,441.47,1.18306,534.25,1.681,0.162,,5935.0,1.18,1.08,0.26,0,0,1
121,HD 82943 c,HD 82943,1,2,WJ,220.078,0.74345,622.603,1.959,0.3663,,5935.0,1.18,1.08,0.26,0,0,0
122,HD 80653 b,HD 80653,1,2,SE,0.719573,0.01661,5.72,0.018,0.0,,5959.0,1.22,1.18,0.255,0,0,0
123,K2-312 c,HD 80653,1,2,CJ,921.2,1.961,1719.45168,5.41,0.853,,5959.0,1.22,1.18,0.255,1,0,0
124,HD 75898 b,HD 75898,1,2,CJ,422.82,1.2025,810.46244,2.55,0.105,F8 V,6122.0,,1.29,0.29,0,0,0
125,HD 75898 c,HD 75898,1,2,CJ,6717.0,7.39,2698.36318,8.49,0.08,F8 V,6122.0,,1.29,0.29,0,0,1
126,HD 75784 b,HD 75784,1,2,CJ,341.2,1.032,317.83,1.0,0.097,,4867.0,3.4,1.26,,0,0,0
127,HD 75784 c,HD 75784,1,2,CJ,7900.0,8.4,1792.5612,5.64,0.489,,4867.0,3.4,1.26,,0,0,1
