Internal index number,CPS identifier,[Fe/H],mass,,err_[Fe/H],logg,err_logg,Radius,err_R,,err_mass,GG?,Teff,err_Teff
143,156365,0.289,1.346,,0.059,4.018,0.034,1.873,0.045,,0.078,,5848.1,76.9
144,156668,0.049,0.785,,0.056,4.551,0.018,0.775,0.012,,0.024,,4903.7,59.6
145,156826,-0.171,1.373,,0.061,3.524,0.035,3.348,0.074,,0.089,,5105.5,75.3
146,156985,-0.082,0.749,,0.056,4.585,0.018,0.728,0.013,,0.025,,4863.9,64.5
147,157172,0.173,0.962,,0.06,4.457,0.033,0.959,0.022,,0.047,,5475.3,83
148,157214,-0.296,0.847,,0.059,4.27,0.02,1.116,0.026,,0.016,,5802.1,49.1
149,157338,-0.1,0.989,,0.061,4.268,0.03,1.206,0.028,,0.044,,5936.2,95.2
150,157347,0.033,0.936,,0.06,4.351,0.03,1.067,0.025,,0.041,,5643.5,84.3
151,158633,-0.356,0.759,,0.057,4.543,0.021,0.768,0.011,,0.025,,5350.8,59.5
152,159062,-0.272,0.791,,0.061,4.468,0.015,0.856,0.014,,0.016,,5491.9,57.1
153,159063,0.254,1.364,,0.063,4.211,0.025,1.516,0.04,,0.032,,6340.3,88.1
154,159222,0.166,1.104,,0.06,4.389,0.031,1.11,0.027,,0.045,,5876.7,81.8
155,160693,-0.435,0.831,,0.059,4.273,0.02,1.1,0.024,,0.017,,5897.5,53.9
156,16141,0.155,1.101,,0.062,4.1,0.035,1.549,0.038,,0.068,,5771,97.4
157,161797,0.318,1.163,,0.062,4.022,0.035,1.739,0.04,,0.069,,5633.0 1,6.2
158,161848,-0.246,0.759,,0.06,4.535,0.014,0.776,0.011,,0.019,,5247,58.7
159,16275,0.321,1.145,,0.059,4.349,0.026,1.184,0.025,,0.044,,5818,94
160,16287,0.182,0.872,,0.059,4.569,0.017,0.805,0.011,,0.026,,5013.2,64
161,163153,0.376,1.211,,0.058,3.982,0.03,1.853,0.045,,0.054,,5616.2 1,4.5
162,163489,0.127,2.216,,0.059,2.836,0.028,9.414,0.215,,0.119,,4849.1,42.8
163,16397,-0.422,0.83,,0.06,4.283,0.02,1.087,0.024,,0.017,,5882.5,52.6
164,164507,0.151,1.412,,0.061,3.739,0.015,2.639,0.061,,0.025,,5578.5 1,4.7
165,164595,-0.061,0.913,,0.059,4.346,0.029,1.06,0.024,,0.039,,5696.9,82.2
166,164922,0.197,0.921,,0.057,4.398,0.025,1.002,0.022,,0.032,,5393.4,68.3
167,165401,-0.322,0.867,,0.061,4.387,0.031,0.984,0.021,,0.04,,5867,86.5
168,166,0.139,0.98,,0.058,4.514,0.017,0.909,0.015,,0.031,,5492.7,72.7
169,16623,-0.399,0.836,,0.058,4.259,0.02,1.123,0.026,,0.016,,5873.4,51
170,166620,-0.112,0.775,,0.055,4.54,0.017,0.78,0.012,,0.023,,5099.7,63.9
171,167042,0.093,1.691,,0.061,3.286,0.052,4.902,0.108,,0.159,,4926.1,79.2
172,167215,-0.306,1.045,,0.062,3.999,0.024,1.689,0.038,,0.033,,6113.2,96.5
173,167216,-0.289,1.03,,0.062,4.047,0.025,1.586,0.036,,0.035,,6122.1,99
174,167389,0.022,1.05,,0.059,4.422,0.03,1.041,0.025,,0.046,,5897.4,81.2
175,167665,-0.141,1.063,,0.059,4.186,0.029,1.376,0.032,,0.047,,6139,90.5
176,168009,0.018,0.986,,0.061,4.265,0.03,1.21,0.028,,0.044,,5778.3,94.4
177,168443,0.076,1.042,,0.062,3.988,0.023,1.711,0.04,,0.031,,5530,97.4
178,168746,-0.034,0.895,,0.058,4.305,0.021,1.101,0.024,,0.023,,5618.9,59.7
179,169830,0.12,1.407,,0.062,4.009,0.025,1.936,0.046,,0.043,,6179.3,97.6
180,170174,-0.037,2.866,,0.054,2.542,0.023 1,4.934,0.417,,0.028,,4944.6,43.8
181,170469,0.311,1.135,,0.059,4.28,0.029,1.275,0.029,,0.048,,5765.6 1,0.1
182,170657,-0.126,0.79,,0.057,4.579,0.023,0.754,0.014,,0.029,,5072.3,66.9
183,171067,-0.012,0.947,,0.058,4.459,0.033,0.947,0.021,,0.046,,5652.2,82.8
184,171665,-0.018,0.925,,0.06,4.425,0.034,0.975,0.023,,0.047,,5637.4,87.2
185,17190,-0.026,0.837,,0.059,4.523,0.028,0.827,0.017,,0.034,,5225.4,71.3
186,171918,0.202,1.113,,0.059,4.107,0.034,1.549,0.036,,0.067,,5743.9,94.2
187,172051,-0.207,0.858,,0.059,4.484,0.033,0.876,0.019,,0.043,,5617.3,84.7
188,172310,-0.344,0.786,,0.058,4.518,0.026,0.805,0.014,,0.03,,5483.8,67.6
189,172513,0.008,0.927,,0.057,4.499,0.028,0.898,0.019,,0.04,,5528.1,79.1
190,173701,0.353,1,,0.057,4.472,0.029,0.961,0.02,,0.042,,5387,76
191,17382,0.103,0.911,,0.054,4.542,0.021,0.85,0.015,,0.033,,5292.4,76.5
192,175541,-0.098,1.449,,0.059,3.297,0.046,4.493,0.117,,0.137,,4970.4,60.4
193,176377,-0.229,0.907,,0.06,4.428,0.034,0.96,0.022,,0.048,,5845.1,90.9
194,176982,-0.105,1.216,,0.061,3.756,0.019,2.414,0.06,,0.035,,5440.4 1,1.5
195,177153,-0.049,1.042,,0.061,4.234,0.03,1.288,0.03,,0.046,,5988.1,95.9
196,177830,0.353,1.319,,0.057,3.454,0.051,3.576,0.087,,0.139,,4744.9,66.8
197,178911b,0.26,1.026,,0.06,4.423,0.032,1.032,0.023,,0.049,,5576.1,88.8
198,179949,0.155,1.22,,0.056,4.317,0.023,1.267,0.028,,0.038,,6176.2,90.2
199,179957,0.009,0.937,,0.058,4.296,0.027,1.138,0.026,,0.037,,5677.4,80.6
200,179958,0.039,0.969,,0.06,4.267,0.03,1.196,0.028,,0.042,,5711.6,89.7
201,180161,0.184,0.965,,0.06,4.522,0.019,0.893,0.017,,0.028,,5380.1,61.4
202,180684,0.037,1.263,,0.059,4.014,0.035,1.822,0.042,,0.076,,6063.7,85
203,181234,0.377,0.973,,0.056,4.375,0.028,1.059,0.024,,0.037,,5372.8,79.7
204,18143,0.168,0.833,,0.06,4.598,0.012,0.76,0.011,,0.019,,4818.6,49.7
205,182488,0.199,0.954,,0.058,4.465,0.033,0.946,0.021,,0.047,,5416.6,82.6
206,182572,0.37,1.096,,0.057,4.195,0.031,1.388,0.031,,0.055,,5600,85
207,1832,-0.028,0.941,,0.06,4.263,0.028,1.184,0.028,,0.038,,5724.4,84.7
208,183263,0.278,1.171,,0.063,4.281,0.03,1.293,0.031,,0.046,,5876.0 1,1.2
209,183650,0.309,1.137,,0.058,4.142,0.031,1.503,0.034,,0.062,,5684.7,81.1
210,183658,0.029,0.969,,0.061,4.34,0.032,1.1,0.025,,0.046,,5732.4,92.6
211,183870,0.019,0.822,,0.059,4.579,0.021,0.771,0.014,,0.026,,4996.9,66
212,18445,-0.06,0.766,,0.06,4.587,0.027,0.736,0.027,,0.03,,4880.8,99
213,185144,-0.172,0.805,,0.057,4.569,0.026,0.772,0.015,,0.034,,5236.4,75.2
214,185295,-0.081,1.305,,0.06,3.654,0.029,2.816,0.068,,0.061,,5147.8,92.9
215,185414,-0.095,0.949,,0.059,4.412,0.035,1.002,0.023,,0.05,,5804.4,91.9
216,18632,0.23,0.888,,0.061,4.563,0.019,0.82,0.012,,0.028,,5032,64.8
217,186408,0.089,1.017,,0.061,4.229,0.03,1.281,0.03,,0.046,,5754.1,96.6
218,186427,0.074,0.983,,0.061,4.3,0.031,1.159,0.027,,0.045,,5712,93.3
219,187123,0.106,1.02,,0.06,4.32,0.032,1.155,0.027,,0.048,,5765.9,96.3
220,187237,0.065,1.036,,0.06,4.443,0.027,1.012,0.022,,0.044,,5802.7,79.1
221,187897,0.129,1.106,,0.059,4.418,0.025,1.077,0.022,,0.041,,5910.6,72.4
222,187923,-0.087,0.977,,0.061,4.055,0.025,1.532,0.036,,0.033,,5708,99.4
223,188015,0.253,1.043,,0.061,4.352,0.032,1.125,0.026,,0.048,,5649.5,97
224,18803,0.128,0.984,,0.061,4.412,0.034,1.021,0.023,,0.05,,5623.5,88.9
225,188510,-1.516,0.618,,0.061,4.737,0.019,0.558,0.014,,0.02,,5251.4,95.3
226,188512,-0.097,1.366,,0.059,3.569,0.035,3.184,0.084,,0.087,,5088.6,82.2
227,189625,0.198,1.1,,0.062,4.423,0.025,1.073,0.02,,0.045,,5807.8,79.2
228,189733,0.041,0.828,,0.057,4.571,0.023,0.783,0.014,,0.029,,5012.5,67.8
229,190067,-0.288,0.79,,0.058,4.528,0.027,0.797,0.015,,0.032,,5417.9,69.1
230,19034,-0.354,0.802,,0.056,4.405,0.015,0.928,0.015,,0.013,,5683.3,46.2
231,190360,0.23,0.986,,0.061,4.298,0.028,1.166,0.026,,0.039,,5537.7,83.4
232,190404,-0.476,0.703,,0.046,4.571,0.008,0.716,0.004,,0.012,,5224,25.8
233,190406,0.051,1.07,,0.057,4.404,0.03,1.072,0.025,,0.044,,5932,81.3
234,191408,-0.522,0.64,,0.062,4.657,0.02,0.62,0.019,,0.023,,4789.6 1,2.2
235,191785,-0.044,0.814,,0.051,4.487,0.016,0.849,0.015,,0.019,,5231,60.1
236,192020,0.016,0.848,,0.059,4.561,0.024,0.799,0.014,,0.031,,5131.9,74.7
237,192263,0.048,0.821,,0.062,4.564,0.032,0.784,0.029,,0.031,,4998.1,97
238,192310,0.081,0.844,,0.06,4.494,0.022,0.858,0.016,,0.028,,5181.1,63.1
239,192343,0.222,1.119,,0.06,4.139,0.032,1.498,0.035,,0.062,,5747.3,83.6
240,192344,0.218,1.162,,0.062,3.988,0.024,1.805,0.044,,0.034,,5660.8 1,4.3
241,19308,0.15,1.061,,0.061,4.288,0.03,1.222,0.029,,0.047,,5801,95.5
242,19373,0.116,1.142,,0.059,4.182,0.028,1.431,0.033,,0.052,,5916,88.4
243,193795,0.158,1.088,,0.059,4.222,0.029,1.337,0.031,,0.051,,5814.8,87.5
244,193901,-0.925,0.738,,0.059,4.486,0.015,0.81,0.008,,0.019,,5959.7,54.3
245,19467,-0.089,0.916,,0.059,4.209,0.025,1.245,0.03,,0.029,,5715.8,72.6
246,195019,0.05,1.049,,0.063,4.073,0.027,1.556,0.037,,0.039,,5746.6,99.8
247,195564,0.089,1.121,,0.061,3.958,0.022,1.836,0.044,,0.034,,5662.9,96.7
248,196201,-0.094,0.858,,0.056,4.419,0.024,0.942,0.019,,0.029,,5537.5,73.7
249,196761,-0.197,0.841,,0.056,4.513,0.033,0.839,0.017,,0.041,,5504.6,80.8
250,196850,-0.094,0.921,,0.059,4.285,0.028,1.143,0.027,,0.037,,5758.4,82.4
