,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
367,367,42Dra b,42Dra,CJ,2,1,479.1,1.19,,,1233.13,3.88,0.38,0.06,-0.06,K1.5 III,4200.0,22.03,0.98,-0.46,1.0,0.0,Radial Velocity,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,1208.914587999694,45.0
368,368,4UMa b,4UMa,WJ,1,1,270.27,0.877,,,2511.48007211,7.902,0.453,0.021,-0.036,K1 III,4415.0,18.11,1.234,-0.25,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,4726.1373999998905,37.0
369,369,24Boo b,24Boo,WJ,1,1,30.33,0.194,,,280.64248338,0.883,0.032,0.039,-0.023,G3 IV,4816.0,12.19,1.05,-0.78,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6751.669759999961,281.0
370,370,18Del b,18Del,CJ,2,1,982.85,2.476,,,2926.24614325,9.207,0.024,0.007,-0.018,G6 III,4980.0,8.8,2.1,-0.06,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6703.727210000157,136.0
371,371,17Sco b,17Sco,CJ,1,1,578.38,1.45,,,1373.01871824,4.32,0.06,0.03,-0.02,K3 III,4157.0,25.92,1.22,-0.01,1.0,0.0,Radial Velocity,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,4474.899999999907,121.0
372,372,14And b,14And,WJ,1,1,186.76,0.775,,,1131.15130051,3.559,0.0,0.1,-0.1,K0 III,4888.0,11.55,1.78,-0.21,1.0,1.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6331.3587100002915,154.0
373,373,11Com b,11Com,CJ,2,1,323.21,1.178,,,4914.89848585,15.464,0.238,0.007,-0.007,G8 III,4874.0,13.76,2.09,-0.26,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6383.692030000035,415.0
374,374,HD72659 b,HD72659,CJ,1,2,3570.0,4.652,,,905.81095995,2.85,0.269,0.018,-0.026,,5865.17,1.522214,1.053144,-0.01,1.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,7942.264202999882,66.0
375,375,HD68988 b,HD68988,HJ,1,2,6.2764187,0.0702,,,608.323571,1.914,0.1581,0.0027,-0.0031,,5883.41,1.255733,1.171665,0.3052,1.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,7353.818216000218,71.0
376,376,HD68988 c,HD68988,CJ,1,2,16000.0,13.2,,,4767.426105,15.0,0.45,0.13,-0.081,,5883.41,1.255733,1.171665,0.3052,7.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,7353.818216000218,71.0
377,377,HD38529 b,HD38529,WJ,2,2,14.31014,0.1329,,,278.41768453,0.876,0.26,0.014,-0.015,,5624.21,2.857838,1.529286,0.3773,1.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2458906.1095459997,693.0
378,378,HD38529 c,HD38529,CJ,2,2,2133.3,3.7365,,,4198.51325647,13.21,0.3545,0.0048,-0.0047,,5624.21,2.857838,1.529286,0.3773,11.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2458906.1095459997,693.0
379,379,HD24040 b,HD24040,CJ,1,2,3552.0,4.708,,,1287.20504835,4.05,0.012,0.011,-0.0082,,5776.49,1.387296,1.10394,0.1971,5.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2459004.349091,93.0
380,380,HD24040 c,HD24040,CS,1,2,515.4,1.3,,,63.88350981,0.201,0.11,0.12,-0.079,,5776.49,1.387296,1.10394,0.1971,1.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2459004.349091,93.0
381,381,HD183263 b,HD183263,CJ,1,2,625.09,1.508,,,1177.23641953,3.704,0.3786,0.004,-0.004,,5875.99,1.293337,1.170583,0.2776,1.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2458775.00312,357.0
382,382,HD183263 c,HD183263,CJ,1,2,5010.0,6.037,,,2529.91411972,7.96,0.0595,0.0064,-0.0063,,5875.99,1.293337,1.170583,0.2776,13.0,0.0,Radial Velocity,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2458775.00312,357.0
